neighborhood,white,hispanic,black,asian,other,income
Modena ,82.5,5.5,7.8,2,2.2,"$50,000 to $74,999"
Morrell Park,83.6,6.8,4.9,3.8,0.9,"$50,000 to $74,999"
Navy Yard ,,,,,,"$14,185 to $49,999"
Newbold,39.8,4.4,15.9,37.2,2.7,"$14,185 to $49,999"
Nicetown,3.1,0.9,92.5,1.1,2.4,"$14,185 to $49,999"
Normandy Village ,84.2,1.6,11.3,0,2.9,"$50,000 to $74,999"
North Central,26.6,3.9,61,6,2.5,"$14,185 to $49,999"
Northeast Phila Airport,,,,,,
Northern Liberties,70.6,8.6,12.8,6.2,1.8,"$14,185 to $49,999"
Northwood,20.4,26,45.5,4.3,3.8,"$14,185 to $49,999"
Ogontz,8.6,2.7,85.6,1.5,1.6,"$14,185 to $49,999"
Old City,61.3,7.2,15.1,14,2.4,"$75,000 to $99,999"
Old Kensington,41.1,39.3,13,4,2.6,"$14,185 to $49,999"
Olney,4.1,22.4,56.7,15.1,1.7,"$14,185 to $49,999"
Overbrook,13.8,1.7,81.2,1.9,1.4,"$14,185 to $49,999"
Oxford Circle,23.6,23.1,30.8,18.1,4.4,"$14,185 to $49,999"
Packer Park,80.7,5.5,4.6,,9.2,"$14,185 to $49,999"
Parkwood Manor,81.2,4.5,8.8,5.2,0.3,"$50,000 to $74,999"
Paschall,6.5,3.7,75.4,12.3,2.1,"$14,185 to $49,999"
Passyunk Square,61.4,11,4.1,20.6,2.9,"$14,185 to $49,999"
Pennsport,81.6,4.8,7.1,5.9,0.6,"$14,185 to $49,999"
Pennypack,59.8,7.6,17.2,12.1,3.3,"$50,000 to $74,999"
Pennypack Park,74.2,4.9,14.1,4.2,2.6,"$50,000 to $74,999"
Pennypack Woods,83.6,4.6,9.2,2.3,0.3,"$50,000 to $74,999"
Penrose,22.6,2.9,66,7.9,0.6,"$14,185 to $49,999"
Point Breeze,18.5,3.5,69.7,4.3,4,"$14,185 to $49,999"
Port Richmond,,,,,,
Powelton,56.9,4.5,9.2,23.9,5.5,"$14,185 to $49,999"
Queen Village,72.3,5.7,12.5,4.2,5.3,"$50,000 to $74,999"
Rhawnhurst,60.1,10,14.6,11.6,3.7,"$50,000 to $74,999"
Richmond,63.7,20.7,13,1.5,1.1,"$14,185 to $49,999"
Rittenhouse,74.3,5.8,5.9,11.6,2.4,"$50,000 to $74,999"
Riverfront,66.9,3.8,9.2,13.3,6.8,"$14,185 to $49,999"
Roxborough,83.7,4.7,7.3,2.2,2.1,"$50,000 to $74,999"
Roxborough Park,87.5,2.1,5.1,2.5,2.8,"$50,000 to $74,999"
Sharswood,5,3.2,90.4,0,1.4,"$14,185 to $49,999"
Society Hill,86.1,3.8,2.5,4.2,3.4,"$75,000 to $99,999"
Somerton,73.7,3.2,7.2,13.1,2.8,"$14,185 to $49,999"
Southwest Germantown,10.9,1.5,85.1,0.4,2.1,"$14,185 to $49,999"
Southwest Schuylkill,9.2,1.7,84.6,3,1.5,"$14,185 to $49,999"
Spring Garden,72.2,9.5,11.2,5.2,1.9,"$50,000 to $74,999"
Spruce Hill,48.7,6.9,17.1,19.8,7.5,"$14,185 to $49,999"
Stadium District ,68.9,3.3,6.2,20.6,1,"$14,185 to $49,999"
Stanton,8.4,1.4,87.8,1.4,1,"$14,185 to $49,999"
Strawberry Mansion,1.6,1.9,94,1.3,1.2,"$14,185 to $49,999"
Summerdale,11.7,18.6,64.9,1.6,3.2,"$14,185 to $49,999"
Tacony,58.6,17,18.5,3.3,2.6,"$14,185 to $49,999"
Tioga,2.7,1.3,93.5,1,1.5,"$14,185 to $49,999"
Torresdale,81.4,4.8,7.1,5.8,0.9,"$50,000 to $74,999"
University City,56.4,5,13.7,20.7,4.2,"$14,185 to $49,999"
Upper Kensington,8,69.1,20.6,0.4,1.9,"$14,185 to $49,999"
Upper Roxborough,72.9,3,16.8,4.2,3.1,"$50,000 to $74,999"
Walnut Hill,21.3,1.8,71.4,3.4,2.1,"$14,185 to $49,999"
Washington Square West,71.7,5.1,8.3,12.2,2.7,"$75,000 to $99,999"
West Central Germantown,29.5,3.6,56.1,3.7,7.1,"$14,185 to $49,999"
West Kensington,12.6,63.1,19.3,3.3,1.7,"$14,185 to $49,999"
