school_name,address,lat,lng
William D.Kelley Public School,"1601 N 28th St, Philadelphia, PA 19121",39.977999,-75.176695
John B Kelly School,"5116 Pulaski Ave, Philadelphia, PA 19144",40.016381,-75.166934
Kenderton School,"1500 W Ontario St, Philadelphia, PA 19140",39.994617,-75.161374
Crossan School,"7350 Bingham St #556, Philadelphia, PA 19111",40.058163,-75.088824
Francis Scott Key School,"2230 S 8th St, Philadelphia, PA 19148",39.922703,-75.158874
Kirkbride School,"1501 S 7th St, Philadelphia, PA 19147",39.930758,-75.156092
Robert E. Lamberton Elementary School,"7501 Woodbine Ave, Philadelphia, PA 19151",39.968884,-75.259102
Henry W. Lawton Elementary School,"6101 Jackson St, Philadelphia, PA 19135",40.028883,-75.058915
Henry C. Lea Elementary School,"4700 Locust St, Philadelphia, PA 19139",39.956028,-75.209682
Lewis C. Cassidy School,"6523 Lansdowne Ave, Philadelphia, PA 19151",39.974284,-75.243905
Anna L. Lingelbach Elementary School,"6340 Wayne Ave, Philadelphia, PA 19144",40.039358,-75.176452
Alain Locke School,"4550 Haverford Ave, Philadelphia, PA 19104",39.962974,-75.211174
William Loesche Elementary School,"595 Tomlinson Rd, Philadelphia, PA 19116",40.107859,-75.039785
Logan School,"1700 Lindley Ave, Philadelphia, PA 19141",40.035581,-75.141237
W.C. Longstreth Elementary School,"Willows Ave, Philadelphia, PA 19143",39.947107,-75.225071
James R. Lowell Elementary School,"450 W Nedro Ave, Philadelphia, PA 19120",40.034786,-75.143917
James R. Ludlow School,"550 Master St, Philadelphia, PA 19122",39.980885,-75.146156
John Marshall Elementary School,"4500 Griscom St, Philadelphia, PA 19124",40.019006,-75.094511
Thurgood Marshall School,"5120 N 6th St, Philadelphia, PA 19120",40.035953,-75.131837
Mayfair Elementary School,"3001 Princeton Ave, Philadelphia, PA 19149",40.019735,-75.092229
McCall Elementary and Middle School,"325 S 7th St, Philadelphia, PA 19106",39.946825,-75.152994
"McCloskey, John F. School","8500 Pickering Ave, Philadelphia, PA 19150",40.078745,-75.171572
Alexander K. McClure Elementary School,"600 W Hunting Park Ave, Philadelphia, PA 19140",40.021304,-75.148368
Delaplaine McDaniel School,"1801 S 22nd St, Philadelphia, PA 19145",39.928083,-75.183193
William McKinley School,"2101 N Orkney St, Philadelphia, PA 19122",39.976356,-75.138028
Morton McMichael School,"3543 Fairmount Ave, Philadelphia, PA 19104",39.969257,-75.180401
Meade School,"1606 N 18th St, Philadelphia, PA 19121",39.978798,-75.163711
Meredith Elementary School,"725 S 5th St, Philadelphia, PA 19147",39.942251,-75.150182
Mifflin School,"3624 Conrad St, Philadelphia, PA 19129",40.016769,-75.189314
S. Weir Mitchell Elementary,"5500 Kingsessing Ave, Philadelphia, PA 19143",39.949361,-75.231071
Moffet School,"127 W Oxford St, Philadelphia, PA 19122",39.982895,-75.136239
